Name,Price,Brand,Category,username,Title,Time,Review,Wired,Gaming,Mechanical,Ergonomic,Membrane,Backlit
"







PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black






",$21.99 ,PICTEK,Gaming,KisnardOnline,Love the keypress sound,"Reviewed in the United States on October 24, 2019","
   I love typing on this keyboard.  It is so comfortable on my fingers and wrists.  The spacebar has an awesome bevel to it, the keys pop off of my fingers with the perfect little noise.  Very quiet, but yet they pop back up nicely.  Listen to the video I attached and you can hear for yourself.  They have a very quiet sound and feeling to them.The coating on the keys is very soft, but not sticky on your fingers.  It is like a soft plastic-felt like feeling - hard to describe.  The keys are spaced nicely and seem to be standard because my fingers were positioned perfectly right from the getgo.  Some keyboards feel shifted to me and this did not.  I like the curve on the left side because I rest my pinky on it - I don't use all of my left fingers to type - Mavis Beacon would be disappointed.It has a nice short row of extra buttons on top for media control and volume level which are just perfect for my laptop.  The lights are awesome and add a nice little glow and fun for my kids.  Full size number keypad is also a must.Some background on me - I am an IT professional by day and video game programmer by night and can type ~74 works a minute.  So far I have used this for a week+ and love it.  Do not have a single complaint about this keyboard.  Do yourself a favor and buy one.
",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"







PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black






",$21.99 ,PICTEK,Gaming,leo,seems good so far.,"Reviewed in the United States on October 21, 2019","
   I ordered this keyboard with low expectations, it is on the cheaper end of the price spectrum for RGB keyboards but it performs very well. The packaging was nothing special. But the colors are very vibrant and pretty bright. There are only a few modes. 1 fade (fades between colors) 2 (waves/jump  the keyboard is completely lit up with all the colors and they jump across the keyboard) 3 manual set; You tap the button to get to the color you want. (this also works for the multi color mode) and finally the breath function where it fades in and out with one color. The effects aren't that cool. But the actual keys on the keyboard feel very good. It is snappy and they are semi hard to press which I like overall it feels like the keyboard is overall quality. Although I have not have the keyboard for very long. I will update my review if it breaks soon. You can see in my photos a picture in a normal light, dark and a video of the modes.
",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"







PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black






",$21.99 ,PICTEK,Gaming,Abhishek Shah,If you are fond of backlit.....get this,"Reviewed in the United States on October 24, 2019","This is one of the best keyboards I have had.....ergonimic....sturdy.

Pros:
It has mostly all the colors we want in a backlit keyboard. I have had keyboards with RGB before but there were not this many configurations. It is just amazing.
Nice built quality.
Very comfortable.
Easy to use just plug and play.
The stands are nice and anti-slip which is very convenient.

Cons:
Just one level stand.
Cant think of anything else😅

Will update about antighosting feature soon...",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"







PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black






",$21.99 ,PICTEK,Gaming,L.E.E. Family,"update: manufacturer offered free replacement, working great so far.","Reviewed in the United States on April 23, 2020","
  Update:Pictek got in contact with me and offered to replace the keyboard free of charge and shipped the new one out promptly. I wanted to use the new one for a while before updating my review, to be sure no new issues cropped up, but so far so good. The space bar key is a little bit ""mushier"" than the others in terms of feel, but it works well, no issues with sticky keys or randomly-inserted spaces or letters. Updated my review from two stars to five based on customer service and new keyboard working as intended.Old review:I haven't had the issues  other people have mentioned about the  LEDs  not retaining their  preset, but I have had  problems with the  space bar. Mainly  to  the tune of it either refusing to put a space between  words even when  pressed sharply enough  to startle the  cat, or it inserting  extra spaces  with the lightest possible tap. It's pretty  comfortable to use and the brightness is  decent but  the issue with the space bar makes it  basically unusable.Also, the cord  is really short. My fault  for not reading the specs clearly  enough, but worth noting.
",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"







PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black






",$21.99 ,PICTEK,Gaming,Hugo,D- Best Keyboard for the Buck,"Reviewed in the United States on June 10, 2020","
  Let me tell you as pro-gamer this keyboard is the best budget keyboard out there! It has a perfect good feel to it and it's not noisy while typing. For those who look for a quit and RGB keyboard, this is the one for you. What makes this keyboard even much more surprising is the RGB. You can increase or decrease the lighting. Change the way the RGB moves or even chose a static color you like. You like only RED then change it to read-only. You want only white backlighting and Boom there it is. This keyboard is not mechanical however playing games on it like Destiny was smooth and love the comfort on it. Also a plus the buttons are not squishy or do not wiggle like some other budget keyboards. I'm super imprese how well made and put together this keyboard is for the price. Trust me! Stop searching long hours for a budge keyboard and get this one. You won't regret it! Not dure about all those negartive reviews but from an office worker at the mornings and a gamer at nighs, this is a winner.
",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"







PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black






",$21.99 ,PICTEK,Gaming,B. Fish,"Excellent customer service, new keyboard works great","Reviewed in the United States on April 6, 2020","*Update*
So I have updated the review to five stars from one star. Why?
Initially, when I made the purchase, the keyboard seemed to have every feature I was looking for. It has pleasing backlighting and the typing experience was good except that it would insert page breaks intermittently for reasons that escaped me and it was infuriating. I was past the return period, so I left a negative review on amazon. The company reached out and offered to send a replacement, on which I typed this review with no issues whatsoever.

I can say based on customer service alone, I can 100% recommend this keyboard. As a keyboard it does everything you could want, the typing experience is good, it is priced very competitively. I've used the volume function keys repeatedly and they work well.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"







Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, White)






",$42.99 ,Redragon,Gaming,John Wood,Do not pass this up,"Reviewed in the United States on July 20, 2016"," I didn't buy this keyboard for gaming. I am a college student and I enjoy typing on a mechanical keyboard. I have been using this Keyboard for around a week with my MacBook Pro.

Once I opened the box I was enlightened by the weight of it. Its not too heavy and it's not too light. Seems like the right amount. The build quality is great at this price point. The plastic seems strong and sturdy. I did a flex test and little to no flexing. I haven't taken it apart but it feels like they have a metal plate inside for structural support and what gives this little guy that extra needed weight.

The plastic for the key caps seem a little thin to me. When typing on the keyboard you can feel the quality of the caps. Slightly thicker keys would make this product perfect for me.

The switches are great! I am no expert at all but from what I have read they compare to Cherry MX Blues. These switches are very loud. I live alone so I don't have to worry about disturbing anyone. This switches are of great quality in my opinion. They feels sturdy and they do not seem cheap.

The led lights are great and it makes this keyboard look sexy. Each key has its own led and they are bright enough for everyday use. I do like how you can adjust the brightness of the light or you can just turn them off. I have noticed the LEDs will not stay at your setting once you turn your computer on. You will need to adjust it every time.

Overall I am happy with my purchase and would recommend this keyboard to anyone looking to save a few dollars.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"







Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, White)






",$42.99 ,Redragon,Gaming,sofia ortiz,Glorious and epic,"Reviewed in the United States on March 22, 2018","So I was hesitant to purchase this at first.
I had read some review somewhere on another redragon product, claiming that it was not true mechanical switches, blah blah blah.

I gotta say, this is probably one of the best keyboards I have owned so far.
I don't usually spend a lot on keyboards with the exception of a Razer DeathStalker Ultimate that I had bought one day to use for work (and it worked out perfectly, it literally did like 30% of my job for me lol, but it was $300 so .. IT BETTER :D ).

Back to the keyboard...
I was how they say. FLUUSSSHH WITTHHH CASHHH.
And thought what the hell I'll try one of their ""Mechanical"" keyboards, and if its a flop, then lesson learned...

Once I had the box in my hand I was already impressed.
The box it comes in is nice, and I can tell the product was heavy, which is usually a good sign.
Once I pulled it out, I knew that it was meant to be (that's what she said...)

It is pretty thick (doesn't bother me one bit)
It is heavy, (also doesn't bother me).
And because its heavy, it doesn't go sliding around the desk when I type at my nutty typing speeds.

The build quality is excellent, honestly, I don't know how they are making money because this thing is solid, and I bet I can weaponize it..
There is no bend or give to this thing, its literally like a rock, its a thing of beauty and brings a tear to my eye.

The red glow is intense and clearly visible even under the high-intensity interrogation style lighting they use at my office.
And the ominous red glow looks amazing, it fits my offensive IT role perfectly (I deal mostly in heartbreak, and ""Like A Boss"" situations)

The flip tabs on the bottom are heavy duty, and are super solid, like crazy solid, you flip them back and they sound like someone cocking a gun.
They literally SNAP! into place, I love it, I have been known to break these things off.. That is just not happening with this keyboard..
I think I might just snap them back and forth now if someone comes to bother me in the middle of an intense keyboard bonding session.

The keys themselves are beautifully designed, I love the font, it's not your typical boring look.
This thing says I break all the rules,
And its the type of font you want to send an email with, but know you can't because you will get fired when someone realizes that you've gone beyond their realm of times of new roman, and into a whole new dimension of professionalism...
They are crystal clear, no blemishes, and the glow comes through the keys perfectly, the glow underneath the keys makes it look that much cooler.

The mechanical keys are solid and work exactly as you expect, whether the actuation force is exactly what it should be, I don't know.
But they do the damn job, and I like to use my keyboards, not measure them in a full-on anal manner.
The click is fairly loud and obvious, and there is no volume knob on it, so that is something to consider if you buy a mechanical keyboard for the office.
I feel like this really does give me confidence in my high-speed typing ability as I am no longer wondering if I hit the key I wanted or if my keyboard had a derp moment (cause I don't make mistakes! YOU HEARD ME! {ok sometimes I do}).
I really do blast through my typing though, with ease and a sense of accomplishment ( cause I feel accomplished when I hammer out a memo and it literally feels like I hammered it out... That is mission accomplished right there!)
I am sure there are going to be moments when someone asks me questions whilst I am typing, and I am just going to keep slamming away while staring at them as I give them the look of ""I know what I am doing"", while confident clicking noises radiate from the dominion that is my office.

My boss came in and just immediately went wow mode on it, he loves it and stated that it makes him want to get rid of his laptop and switch to a desktop just to have a badass keyboard like this one.
I didn't mention that he could just hook it up to his laptop (MUAHAHAHA)
And thus my reign over awesome keyboards stays unchallenged (as planned).

Overall this thing is solid, and it makes a statement.
It says, now mechanical keyboards can now be owned by anyone and not just those who are less impulsive with their money.
I love it and I am going to buy 2 more, one for home (or should I call it my lair o.0) and one for my coming Mad (IT) Scientist Lab.

To the manufacture: good job on an excellent product!
I honestly didn't have confidence in your brand when I first made this purchase, I have never used your products but now I am a believer.
And don't change the price, I am still a cheap impulsive bastard and will have to panhandle if you do.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"







Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, White)






",$42.99 ,Redragon,Gaming,Kaimonkey,An ACTUAL Mechanical Keyboard.,"Reviewed in the United States on February 18, 2016","Lets keep this review short and simple, You want a mechanical Keyboard, you can't really afford a mechanical keyboard, but hey this one is only a few bucks more than a similar membrane keyboard? why not this one?

Pros :
It's cheap AF. seriously, $30? that's like 6 pumpkin spice lattes.
It's actually mechanical, not like mechanical feel keyboards, you do actually get that sweet sweet clickity clack!
Backlit! Not only is it mechanical it's actually backlit too! and it's not too bright, just right, easy to see even with the monitor right infront of it.
Raised keys, a simple little touch, but makes the keyboard look that much better.

Now onto the cons:
There aren't that many cons really, at this price point it's bettery tactile wise than literally every keyboard out there, due to the fact it is an actual mechanical keyboard.
But the only real Con that I can find is that it says the switches used are a Cherry Green Equivalent, but they're not. They're a Cherry MX Blue clone if even that, a real cherry MX Green has about 70grams of actuation force, this keyboard has 55grams. I measured using quarters, it took 10 quarters to make the switch depress. But more on these switches, they say that they're Greetech switches, however I can't find the same or similar switches anywhere online! These switches might be a knock off of a knock off.....

but lets be honest, it's a $40 mechanical keyboard. that's actually mechanical. The only thing that would make this better, would be, slightly larger keys, I don't have little child hands. and possibly a wrist rest, but honestly? This keyboard is an incredible value and I would highly recommend it!",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"







Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - (Turqouise)






",$35.99 ,,,Sadie,"Pretty, functional, easy to use","Reviewed in the United States on February 11, 2020","First impression is that it is very pretty! I love the splash of color in my cubicle. It perfectly matches an organizer I got here https://smile.amazon.com/gp/product/B07QG8YFZ9/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1 Both pieces feels sturdy enough for daily use & keyboard sits properly on my desk without wobbling.

The keyboard: all keys seem to be correct & work properly. I type most of the day at 75wpm & this keyboard is easy to use. I like it much better than a laptop keyboard & maybe better than the standard dell keyboard I've been using. Only trouble I'm having is that the backspace key is a little too short for my short fingers to reach, but I think I'm already adapting. And I'm not used to having the backspace key on the number keypad, so I must adjust to that as well. The keys are textured & are already becoming very, very slightly discolored. I will have to clean them frequently.

The mouse works great and does not enter power saving mode too quickly, it takes several minutes of idle time to shut off. When it does, I can easily click once to wake it up without any trouble. It's a nice size for my small hands & has a very quite, almost silent click.

After just 2 days of use, I'm happy with this set. I will update if that is no longer the case.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
